nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
BATAINDIA,2015Q1,0.0,,,,
BATAINDIA,2015Q2,0.0,,,,
BATAINDIA,2015Q3,52.96,,,,
BATAINDIA,2015Q4,0.0,,,,
BATAINDIA,2016Q1,52.96,,,,
BATAINDIA,2016Q2,52.96,,,,
BATAINDIA,2016Q3,52.96,,,,
BATAINDIA,2016Q4,52.96,,,,
BATAINDIA,2017Q1,52.96,,,,
BATAINDIA,2017Q2,52.96,,,,
BATAINDIA,2017Q3,52.96,,,,
BATAINDIA,2017Q4,52.96,,,,
BATAINDIA,2018Q1,52.96,,,,
BATAINDIA,2018Q2,52.96,,,,
BATAINDIA,2018Q3,52.96,,,,
BATAINDIA,2018Q4,52.96,,,,
BATAINDIA,2019Q1,52.96,,,,
BATAINDIA,2019Q2,52.96,,,,
BATAINDIA,2019Q3,52.96,0.0,0.0,0.0,
BATAINDIA,2019Q4,52.96,,,,
BATAINDIA,2020Q1,52.96,0.0,0.0,0.0,
BATAINDIA,2020Q2,52.96,0.0,0.0,0.0,
BATAINDIA,2020Q3,52.96,0.0,0.0,0.0,
BATAINDIA,2020Q4,52.96,0.0,0.0,0.0,
BATAINDIA,2021Q1,52.96,0.0,0.0,0.0,
BATAINDIA,2021Q2,52.96,0.0,0.0,0.0,
BATAINDIA,2021Q3,52.96,0.0,0.0,0.0,
BATAINDIA,2021Q4,52.96,0.0,0.0,0.0,
BATAINDIA,2022Q1,50.16,0.0,0.0,0.0,
BATAINDIA,2022Q2,50.16,0.0,0.0,0.0,
BATAINDIA,2022Q3,50.16,0.0,0.0,0.0,
BATAINDIA,2022Q4,52.96,0.0,0.0,0.0,
BATAINDIA,2023Q1,50.16,0.0,0.0,0.0,
BATAINDIA,2023Q2,50.16,0.0,0.0,0.0,
BATAINDIA,2023Q3,50.16,0.0,0.0,0.0,
BATAINDIA,2023Q4,50.16,0.0,0.0,0.0,
BATAINDIA,2024Q1,50.16,0.0,0.0,0.0,
BATAINDIA,2024Q2,50.16,0.0,0.0,0.0,
BATAINDIA,2024Q3,50.16,0.0,0.0,0.0,
BATAINDIA,2024Q4,50.16,0.0,0.0,0.0,
BATAINDIA,2025Q1,50.16,,,,
BATAINDIA,2025Q2,50.16,,,,
BATAINDIA,2025Q3,50.16,,,,
BATAINDIA,2025Q4,50.16,0.0,0.0,0.0,
